Ticker,Name,Sector,Price,Intrinsic_Value,Margin_Of_Safety_%,Quality_Score,Valuation_Score,Moat_Score,Risk_Score,CapAlloc_Score,Growth_Score,Smart_Money_Score,Debt_to_Equity,Inst_Holdings_%,Value_Trap_Risk,Momentum_Status,Latest_Catalyst,Latest_News_Link,Final_V15_Score,ocf_array,fcf_array
TECHM.NS,TECH MAHINDRA LIMITED,Technology,1465.1,1905.87,23.1,80,80,50,44,70,100,80,0.07,45.2,0,Bullish Short-Term,How The Investment Story Is Shifting For Tech Mahindra (NSEI:TECHM) After A Fair Value Reset,https://finance.yahoo.com/markets/stocks/articles/investment-story-shifting-tech-mahindra-021208294.html,77.1,"[5572.0, 6376.4, 5785.7, 6172.0]","[4556.8, 5585.3, 5192.2, 5476.3]"
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1317.0,1555.45,15.3,80,80,50,50,90,50,100,0.0,58.6,0,Bullish Short-Term,Is ICICI Bank Limited (IBN) The Best Deep Value Stock to Invest in?,https://finance.yahoo.com/markets/stocks/articles/icici-bank-limited-ibn-best-005903282.html,70.0,"[-3771.19, 157284.48, 122805.26, 67325.42]","[-6238.87, 153605.93, 118035.26, 63595.42]"
JSWSTEEL.NS,JSW STEEL LIMITED,Basic Materials,1282.3,891.16,-43.9,50,40,50,50,90,100,50,0.94,17.1,0,Golden Cross (Bullish),JSW Steel Ltd (BOM:500228) Q4 2026 Earnings Call Highlights: Strong Financial Performance Amid ...,https://finance.yahoo.com/markets/stocks/articles/jsw-steel-ltd-bom-500228-230353902.html,65.5,"[23323.0, 12078.0, 20899.0, 25152.0]","[8539.0, -3723.0, 8205.0, 10498.0]"
APOLLOHOSP.NS,APOLLO HOSPITALS ENTER. L,Healthcare,8493.0,1539.29,-99.9,50,0,50,50,90,100,100,0.85,50.5,0,Golden Cross (Bullish),Personalised gummies firm Rem3dy Health raises funds for global push,https://finance.yahoo.com/sectors/healthcare/articles/personalised-gummies-firm-rem3dy-health-140557970.html,62.0,"[1376.9, 1920.2, 2136.4, 2855.7]","[248.4, 783.4, 423.7, 893.7]"
EICHERMOT.NS,EICHER MOTORS LTD,Consumer Cyclical,7179.5,3944.44,-82.0,75,0,50,50,100,80,50,0.02,29.1,0,Bullish Short-Term,Eicher Motors Ltd (BOM:505200) Q4 2026 Earnings Call Highlights: Record Sales and Strategic ...,https://finance.yahoo.com/markets/stocks/articles/eicher-motors-ltd-bom-505200-190038378.html,61.0,"[2822.66, 3723.71, 3979.92, 4804.84]","[2140.17, 2905.2, 2940.59, 3529.58]"
DIVISLAB.NS,DIVI S LABORATORIES LTD,Healthcare,6655.5,203.37,-99.9,30,0,70,50,100,100,50,0.0,29.7,0,Golden Cross (Bullish),Divi's Laboratories Ltd (BOM:532488) Q4 2026 Earnings Call Highlights: Strong Financial ...,https://finance.yahoo.com/markets/stocks/articles/divis-laboratories-ltd-bom-532488-010323500.html,58.0,"[2459.0, 1261.0, 1653.0, 2738.0]","[1986.0, 258.0, 215.0, 218.0]"
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,Consumer Cyclical,10114.0,2058.7,-99.9,50,0,50,50,100,80,50,0.56,17.6,0,Golden Cross (Bullish),India's Eicher Motors beats quarterly profit estimates on strong sales,https://finance.yahoo.com/news/indias-eicher-motors-beats-quarterly-112926485.html,56.0,"[5277.42, 6551.53, -1405.57, 2596.6]","[4167.22, 5828.69, -2279.41, 1874.28]"
ADANIPORTS.NS,ADANI PORT & SEZ LTD,Industrials,1787.1,452.89,-99.9,30,0,50,50,90,100,50,0.64,21.3,0,Golden Cross (Bullish),India's Adani Ports to invest $1.36 billion in Europe expansion,https://finance.yahoo.com/news/indias-adani-ports-invest-1-112959893.html,55.5,"[11899.5, 15017.58, 17226.28, 20356.25]","[2758.46, 7601.28, 9177.36, 5035.94]"
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2690.9,684.03,-99.9,100,0,90,58,100,0,50,0.18,28.1,0,Bullish Short-Term,Asian Paints Ltd (BOM:500820) (Q4 FY26) Earnings Call Highlights: Strong Volume Growth and ...,https://finance.yahoo.com/markets/stocks/articles/asian-paints-ltd-bom-500820-230052885.html,55.2,"[4193.43, 6103.6, 4423.96, 7088.18]","[2747.82, 3607.52, 2593.89, 5600.86]"
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,393.35,483.27,18.6,60,80,50,50,90,0,80,0.0,49.9,0,Bullish Short-Term,SoftBank sells 3% stake in India's Lenskart,https://finance.yahoo.com/news/softbank-sells-3-stake-indias-150810983.html,55.0,"[-1242.43, 15685.0, 16915.73, 41726.52]","[-2229.19, 14558.31, 15702.88, 40668.56]"
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,4025.2,1629.09,-99.9,100,0,50,50,90,100,50,1.95,22.0,20,Bearish Short-Term,India Jewelry Stocks Lose 12% as Modi Targets $72 Billion In Gold Imports,https://finance.yahoo.com/markets/stocks/articles/india-jewelry-stocks-lose-12-114219883.html,53.2,"[1370.0, 1695.0, -541.0, 5590.0]","[938.0, 1004.0, -1035.0, 4688.0]"
COALINDIA.NS,COAL INDIA LTD,Energy,446.2,700.28,36.3,100,80,50,40,100,20,50,0.12,26.0,0,Bearish Short-Term,India to sell up to 2% stake in Coal India via offer for sale,https://finance.yahoo.com/news/india-sell-2-stake-coal-150609729.html,51.6,"[35733.97, 18103.1, 30236.9, 43214.6]","[20415.86, 1281.76, 15904.76, 30714.96]"
